order_item_id,order_id,product_id,quantity,unit_price,total_price
OI000040,ORD00013,P0846,2,7698.53,15397.06
OI000041,ORD00014,P1999,1,1898.39,1898.39
OI000042,ORD00014,P1372,1,9620.62,9620.62
OI000043,ORD00014,P1059,2,4832.77,9665.54
OI000044,ORD00015,P0618,2,671.66,1343.32
OI000045,ORD00015,P1483,1,3181.12,3181.12
OI000046,ORD00015,P1566,1,8646.76,8646.76
OI000047,ORD00015,P1583,1,3225.83,3225.83
OI000048,ORD00016,P1068,1,4473.01,4473.01
OI000049,ORD00017,P0042,1,1870.87,1870.87
OI000050,ORD00017,P1767,2,5652.3,11304.6
OI000051,ORD00017,P1477,1,2485.36,2485.36
OI000052,ORD00017,P1059,1,4574.92,4574.92
OI000053,ORD00017,P1234,1,6185.47,6185.47
OI000054,ORD00018,P1046,1,4630.75,4630.75
OI000055,ORD00018,P1442,1,13525.68,13525.68
OI000056,ORD00018,P1122,1,3181.96,3181.96
OI000057,ORD00018,P0204,1,1234.79,1234.79
OI000058,ORD00018,P1315,1,604.29,604.29
OI000059,ORD00019,P0911,1,8893.62,8893.62
OI000060,ORD00019,P0279,1,1758.93,1758.93
OI000061,ORD00019,P1846,1,10792.56,10792.56
OI000062,ORD00019,P1323,2,481.41,962.82
OI000063,ORD00019,P1787,2,152.91,305.82
OI000064,ORD00020,P1182,1,8612.83,8612.83
OI000065,ORD00020,P1767,2,5353.5,10707.0
OI000066,ORD00020,P1905,1,2730.89,2730.89
OI000067,ORD00021,P1160,1,951.42,951.42
OI000068,ORD00022,P1215,1,4640.87,4640.87
OI000069,ORD00022,P1198,2,1749.26,3498.52
OI000070,ORD00022,P1454,1,3392.3,3392.3
OI000071,ORD00023,P1801,1,8317.05,8317.05
OI000072,ORD00023,P1035,1,6279.08,6279.08
OI000073,ORD00023,P1661,1,9728.27,9728.27
OI000074,ORD00023,P0966,1,1559.74,1559.74
OI000075,ORD00023,P0680,1,228.51,228.51
OI000076,ORD00024,P1528,1,8724.82,8724.82
OI000077,ORD00024,P1705,1,512.61,512.61
OI000078,ORD00024,P1801,1,8029.95,8029.95
OI000079,ORD00024,P1057,1,852.09,852.09
OI000080,ORD00025,P0137,1,7748.92,7748.92
OI000081,ORD00026,P0994,1,1999.0,1999.0
OI000082,ORD00026,P1919,1,1861.39,1861.39
OI000083,ORD00027,P1359,1,9001.81,9001.81
OI000084,ORD00027,P1490,1,16987.84,16987.84
OI000085,ORD00027,P1083,1,940.29,940.29
OI000086,ORD00027,P1033,2,1033.0,2066.0
OI000087,ORD00027,P1781,1,1829.05,1829.05
OI000088,ORD00028,P0754,1,2640.94,2640.94
OI000089,ORD00028,P1217,3,832.72,2498.16
OI000090,ORD00028,P1920,2,5191.31,10382.62
OI000091,ORD00028,P1667,1,2414.33,2414.33
OI000092,ORD00029,P1838,1,5111.53,5111.53
OI000093,ORD00029,P1257,1,4922.17,4922.17
OI000094,ORD00030,P0943,1,6765.02,6765.02
OI000095,ORD00030,P1189,1,10874.22,10874.22
OI000096,ORD00030,P0702,1,6124.7,6124.7
OI000097,ORD00030,P1163,1,9588.18,9588.18
OI000098,ORD00030,P0232,1,1705.01,1705.01
OI000099,ORD00031,P1515,1,14147.9,14147.9
OI000100,ORD00032,P0100,1,10170.39,10170.39
OI000101,ORD00033,P1229,1,530.16,530.16
OI000102,ORD00033,P1338,1,9542.47,9542.47
OI000103,ORD00033,P0536,3,7985.78,23957.34
OI000104,ORD00033,P1719,1,3050.82,3050.82
OI000105,ORD00033,P0638,1,1143.94,1143.94
OI000106,ORD00034,P1231,1,6462.98,6462.98
OI000107,ORD00034,P1327,3,5232.82,15698.46
OI000108,ORD00034,P0135,1,7098.31,7098.31
OI000109,ORD00034,P0591,1,13787.4,13787.4
OI000110,ORD00035,P1426,1,4352.08,4352.08
OI000111,ORD00035,P0949,1,6254.0,6254.0
OI000112,ORD00035,P1531,1,8644.87,8644.87
OI000113,ORD00036,P1471,2,7585.94,15171.88
OI000114,ORD00036,P0962,1,248.88,248.88
OI000115,ORD00036,P0914,2,1365.77,2731.54
OI000116,ORD00036,P1582,1,763.98,763.98
OI000117,ORD00036,P1070,1,2674.17,2674.17
OI000118,ORD00037,P1617,1,5672.05,5672.05
OI000119,ORD00037,P1763,1,2043.98,2043.98
OI000120,ORD00038,P0105,2,4847.74,9695.48
OI000121,ORD00038,P1514,1,805.73,805.73
OI000122,ORD00038,P1041,1,484.67,484.67
OI000123,ORD00038,P0230,1,6909.29,6909.29
OI000124,ORD00039,P0026,1,2580.53,2580.53
OI000125,ORD00039,P1849,1,2013.6,2013.6
OI000126,ORD00039,P1030,1,7848.58,7848.58
OI000127,ORD00039,P1621,1,7855.52,7855.52
OI000128,ORD00040,P1587,1,1539.29,1539.29
OI000129,ORD00040,P1235,1,10605.42,10605.42
OI000130,ORD00041,P1754,1,1426.7,1426.7
OI000131,ORD00042,P0906,1,656.52,656.52
OI000132,ORD00042,P1469,2,2897.77,5795.54
OI000133,ORD00042,P0925,1,13535.24,13535.24
OI000134,ORD00043,P1958,1,6274.15,6274.15
OI000135,ORD00044,P1236,1,968.2,968.2
OI000136,ORD00044,P1802,1,4281.21,4281.21
OI000137,ORD00044,P1647,1,756.48,756.48
OI000138,ORD00045,P1357,1,15871.78,15871.78
OI000139,ORD00045,P1257,1,5515.91,5515.91
OI000140,ORD00045,P0494,1,4851.06,4851.06
OI000141,ORD00045,P0357,2,2353.6,4707.2
OI000142,ORD00045,P1439,1,3408.42,3408.42
OI000143,ORD00046,P0384,2,6094.85,12189.7
OI000144,ORD00046,P0317,1,8361.56,8361.56
OI000145,ORD00046,P0913,1,3869.01,3869.01
OI000146,ORD00047,P0533,1,10067.95,10067.95
OI000147,ORD00047,P0711,1,2938.26,2938.26
OI000148,ORD00047,P0812,1,9211.16,9211.16
OI000149,ORD00047,P0259,1,4426.11,4426.11
OI000150,ORD00047,P0670,1,4799.76,4799.76
OI000151,ORD00048,P1339,1,3772.41,3772.41
OI000152,ORD00048,P0785,1,17603.38,17603.38
OI000153,ORD00048,P0304,1,1537.93,1537.93
OI000154,ORD00048,P1656,1,778.98,778.98
OI000155,ORD00049,P1314,1,9728.22,9728.22
OI000156,ORD00049,P0322,2,2832.21,5664.42
OI000157,ORD00049,P1387,1,4216.3,4216.3
OI000158,ORD00049,P1278,3,9536.54,28609.62
OI000159,ORD00050,P1039,1,3452.58,3452.58
OI000160,ORD00051,P1622,2,841.61,1683.22
OI000161,ORD00051,P0279,1,1934.32,1934.32
OI000162,ORD00051,P1776,2,2511.71,5023.42
OI000163,ORD00052,P1638,2,1109.76,2219.52
OI000164,ORD00052,P0339,1,2266.94,2266.94
OI000165,ORD00053,P0718,1,1385.48,1385.48
OI000166,ORD00054,P0311,1,4373.96,4373.96
OI000167,ORD00054,P1547,1,8460.42,8460.42
OI000168,ORD00054,P1341,1,9463.49,9463.49
OI000169,ORD00054,P0729,1,7987.66,7987.66
OI000170,ORD00054,P1004,1,16902.51,16902.51
OI000171,ORD00055,P1270,2,455.07,910.14
OI000172,ORD00056,P1348,1,401.09,401.09
OI000173,ORD00056,P0902,1,4131.28,4131.28
OI000174,ORD00056,P1551,2,10275.3,20550.6
OI000175,ORD00057,P0510,1,791.97,791.97
OI000176,ORD00057,P1027,1,2333.89,2333.89
OI000177,ORD00057,P1656,1,802.29,802.29
OI000178,ORD00057,P1843,1,12265.09,12265.09
OI000179,ORD00058,P0828,1,711.6,711.6
OI000180,ORD00059,P1860,1,1374.52,1374.52
OI000181,ORD00059,P1286,1,6191.44,6191.44
OI000182,ORD00059,P0745,1,3930.43,3930.43
OI000183,ORD00059,P0588,1,2004.83,2004.83
OI000184,ORD00060,P1265,1,7769.71,7769.71
OI000185,ORD00060,P0436,1,3685.61,3685.61
OI000186,ORD00060,P0180,1,1671.76,1671.76
OI000187,ORD00061,P1723,1,815.15,815.15
OI000188,ORD00062,P0120,1,4212.95,4212.95
OI000189,ORD00062,P1215,2,4530.45,9060.9
OI000190,ORD00063,P1315,1,563.91,563.91
OI000191,ORD00063,P1464,2,4696.07,9392.14
OI000192,ORD00063,P0712,1,19050.19,19050.19
OI000193,ORD00063,P1923,1,7120.0,7120.0
OI000194,ORD00063,P0860,1,1782.88,1782.88
OI000195,ORD00064,P1985,1,12235.65,12235.65
OI000196,ORD00064,P1630,1,8290.52,8290.52
OI000197,ORD00064,P0986,1,2398.25,2398.25
OI000198,ORD00064,P1050,1,4899.78,4899.78
OI000199,ORD00064,P0923,1,16797.25,16797.25
OI000200,ORD00065,P0774,1,1440.19,1440.19
OI000201,ORD00066,P1692,1,1172.18,1172.18
OI000202,ORD00066,P0510,1,723.58,723.58
OI000203,ORD00067,P1403,1,1268.29,1268.29
OI000204,ORD00067,P1586,1,8332.15,8332.15
OI000205,ORD00068,P0627,1,1794.86,1794.86
OI000206,ORD00068,P0504,1,6909.82,6909.82
OI000207,ORD00068,P0532,1,5467.65,5467.65
OI000208,ORD00068,P1738,2,1459.44,2918.88
OI000209,ORD00069,P1405,1,4586.14,4586.14
OI000210,ORD00069,P1023,1,4487.63,4487.63
OI000211,ORD00069,P1005,1,8795.99,8795.99
OI000212,ORD00070,P0370,1,16524.94,16524.94
OI000213,ORD00070,P1088,1,5814.37,5814.37
OI000214,ORD00070,P0997,1,1546.42,1546.42
OI000215,ORD00071,P0060,2,5704.65,11409.3
OI000216,ORD00071,P1673,1,8978.76,8978.76
OI000217,ORD00071,P0670,1,5078.04,5078.04
OI000218,ORD00072,P0284,1,3020.77,3020.77
OI000219,ORD00072,P0245,1,1560.3,1560.3
OI000220,ORD00072,P0994,1,1948.15,1948.15
OI000221,ORD00072,P1443,1,6807.72,6807.72
OI000222,ORD00073,P1947,3,6112.01,18336.03
OI000223,ORD00073,P1531,2,8734.11,17468.22
OI000224,ORD00073,P0746,1,2572.18,2572.18
OI000225,ORD00073,P0479,1,7659.08,7659.08
OI000226,ORD00073,P1940,1,8652.94,8652.94
OI000227,ORD00074,P0978,1,13926.34,13926.34
OI000228,ORD00074,P1601,1,3886.87,3886.87
OI000229,ORD00074,P0704,1,5015.72,5015.72
OI000230,ORD00074,P0445,1,6787.13,6787.13
OI000231,ORD00074,P0040,1,5840.86,5840.86
OI000232,ORD00075,P1505,1,7089.74,7089.74
OI000233,ORD00075,P1165,1,8040.93,8040.93
OI000234,ORD00075,P0716,1,11380.47,11380.47
OI000235,ORD00076,P1365,1,3093.8,3093.8
OI000236,ORD00076,P1952,1,1487.77,1487.77
OI000237,ORD00076,P0816,2,5404.92,10809.84
OI000238,ORD00077,P0343,1,1169.13,1169.13
OI000239,ORD00077,P0039,1,3519.45,3519.45
OI000240,ORD00077,P1030,3,8063.69,24191.07
OI000241,ORD00077,P1435,1,2708.2,2708.2
OI000242,ORD00078,P0797,1,7703.29,7703.29
OI000243,ORD00078,P1789,1,1212.73,1212.73
OI000244,ORD00078,P0058,1,11964.9,11964.9
OI000245,ORD00078,P1963,1,514.49,514.49
OI000246,ORD00078,P1649,1,8211.53,8211.53
OI000247,ORD00079,P0252,2,19688.23,39376.46
OI000248,ORD00079,P0068,1,15629.29,15629.29
OI000249,ORD00079,P1578,1,8856.1,8856.1
OI000250,ORD00079,P0209,1,358.52,358.52
OI000251,ORD00080,P0344,2,6249.46,12498.92
OI000252,ORD00080,P1373,2,7935.59,15871.18
OI000253,ORD00080,P0512,1,5399.69,5399.69
OI000254,ORD00081,P1769,2,14945.15,29890.3
OI000255,ORD00082,P1256,1,255.79,255.79
OI000256,ORD00082,P0863,1,1554.08,1554.08
OI000257,ORD00082,P1931,1,6256.61,6256.61
OI000258,ORD00083,P1029,1,3403.78,3403.78
OI000259,ORD00083,P1125,1,4282.89,4282.89
OI000260,ORD00083,P1083,1,1064.45,1064.45
OI000261,ORD00083,P0595,1,5413.37,5413.37
OI000262,ORD00083,P0039,2,3399.82,6799.64
OI000263,ORD00084,P0165,2,4388.59,8777.18
OI000264,ORD00084,P1566,1,8030.23,8030.23
OI000265,ORD00084,P1426,2,4442.5,8885.0
OI000266,ORD00085,P1462,1,509.23,509.23
OI000267,ORD00085,P1464,1,4645.06,4645.06
OI000268,ORD00085,P1224,1,632.93,632.93
OI000269,ORD00085,P1777,1,757.44,757.44
OI000270,ORD00086,P1682,1,2986.84,2986.84
OI000271,ORD00086,P1406,1,1485.46,1485.46
OI000272,ORD00086,P0031,1,2203.42,2203.42
OI000273,ORD00086,P1245,1,4334.78,4334.78
OI000274,ORD00087,P1017,1,4788.81,4788.81
OI000275,ORD00087,P1578,1,7401.32,7401.32
OI000276,ORD00087,P0322,1,3049.58,3049.58
OI000277,ORD00088,P0868,1,2256.34,2256.34
OI000278,ORD00088,P1574,1,2400.04,2400.04
OI000279,ORD00089,P1124,1,3695.03,3695.03
OI000280,ORD00089,P1079,1,12307.55,12307.55
OI000281,ORD00089,P1752,1,849.56,849.56
OI000282,ORD00089,P0568,1,4261.09,4261.09
OI000283,ORD00089,P0755,1,4356.68,4356.68
OI000284,ORD00090,P0062,1,10326.97,10326.97
OI000285,ORD00091,P1640,1,251.35,251.35
OI000286,ORD00091,P0910,1,19403.12,19403.12
OI000287,ORD00091,P0715,1,5570.72,5570.72
OI000288,ORD00091,P0098,1,495.63,495.63
OI000289,ORD00092,P0779,1,910.45,910.45
OI000290,ORD00093,P0350,1,1496.81,1496.81
OI000291,ORD00093,P0888,1,4970.5,4970.5
OI000292,ORD00094,P1493,2,237.66,475.32
OI000293,ORD00094,P1491,1,10958.65,10958.65
OI000294,ORD00094,P1311,1,5952.57,5952.57
OI000295,ORD00094,P0359,1,2626.35,2626.35
OI000296,ORD00095,P0717,1,5986.42,5986.42
OI000297,ORD00095,P0340,2,2054.57,4109.14
OI000298,ORD00096,P0249,1,6932.5,6932.5
OI000299,ORD00096,P0731,1,5622.71,5622.71
OI000300,ORD00096,P0430,1,9322.66,9322.66
OI000301,ORD00096,P0440,1,638.88,638.88
OI000302,ORD00097,P0305,3,3564.87,10694.61
OI000303,ORD00097,P0146,1,12148.48,12148.48
OI000304,ORD00097,P0245,1,1583.46,1583.46
OI000305,ORD00098,P1334,1,12584.25,12584.25
OI000306,ORD00098,P0037,1,9378.44,9378.44
OI000307,ORD00098,P1635,1,11525.66,11525.66
OI000308,ORD00098,P1492,2,3624.28,7248.56
OI000309,ORD00098,P0360,1,10899.01,10899.01
OI000310,ORD00099,P0329,1,12449.84,12449.84
OI000311,ORD00099,P1737,1,5991.0,5991.0
OI000312,ORD00100,P1860,1,1365.04,1365.04
OI000313,ORD00100,P0419,1,6409.13,6409.13
OI000314,ORD00100,P0709,1,3929.6,3929.6
OI000315,ORD00101,P0896,1,14477.11,14477.11
OI000316,ORD00102,P0379,1,5988.47,5988.47
OI000317,ORD00102,P1448,1,1844.7,1844.7
OI000318,ORD00102,P0157,1,5453.79,5453.79
OI000319,ORD00102,P1049,3,2075.9,6227.7
OI000320,ORD00102,P1246,1,6233.16,6233.16
OI000321,ORD00103,P0501,1,901.24,901.24
OI000322,ORD00103,P0277,1,3825.79,3825.79
OI000323,ORD00103,P1674,1,4061.1,4061.1
OI000324,ORD00104,P1044,1,826.87,826.87
OI000325,ORD00104,P1938,1,6472.93,6472.93
OI000326,ORD00105,P1666,1,6958.73,6958.73
OI000327,ORD00105,P1926,1,1219.58,1219.58
OI000328,ORD00106,P1993,1,397.68,397.68
OI000329,ORD00106,P1110,2,5979.52,11959.04
OI000330,ORD00106,P0367,1,385.99,385.99
OI000331,ORD00106,P0292,1,1905.36,1905.36
OI000332,ORD00107,P0202,1,1807.85,1807.85
OI000333,ORD00107,P0818,1,5714.07,5714.07
OI000334,ORD00108,P1443,1,7707.63,7707.63
OI000335,ORD00108,P0022,1,851.52,851.52
OI000336,ORD00108,P0195,1,2605.77,2605.77
OI000337,ORD00108,P1354,1,756.2,756.2
OI000338,ORD00109,P1514,1,879.08,879.08
OI000339,ORD00109,P1171,2,6166.07,12332.14
OI000340,ORD00109,P1359,1,8579.99,8579.99
OI000341,ORD00109,P1964,1,6111.99,6111.99
OI000342,ORD00109,P0008,1,4455.41,4455.41
OI000343,ORD00110,P0426,1,6938.42,6938.42
OI000344,ORD00111,P1833,1,5295.64,5295.64
OI000345,ORD00111,P0845,1,7749.6,7749.6
OI000346,ORD00112,P1627,1,971.8,971.8
OI000347,ORD00112,P1994,1,974.29,974.29
OI000348,ORD00112,P1163,1,8721.92,8721.92
OI000349,ORD00112,P1574,2,2095.28,4190.56
OI000350,ORD00113,P1953,3,1439.55,4318.65
OI000351,ORD00113,P1354,2,649.45,1298.9
OI000352,ORD00113,P0585,1,6575.01,6575.01
OI000353,ORD00114,P0953,1,5985.38,5985.38
OI000354,ORD00114,P0006,3,1960.59,5881.77
OI000355,ORD00114,P1799,1,4988.48,4988.48
OI000356,ORD00115,P0607,2,3973.3,7946.6
OI000357,ORD00115,P1032,1,961.71,961.71
OI000358,ORD00116,P0736,1,3195.85,3195.85
OI000359,ORD00116,P1190,1,3613.09,3613.09
OI000360,ORD00116,P1769,1,12600.13,12600.13
OI000361,ORD00116,P0040,1,5826.33,5826.33
OI000362,ORD00116,P1555,1,5952.13,5952.13
OI000363,ORD00117,P0645,1,3600.45,3600.45
OI000364,ORD00117,P1962,1,12138.36,12138.36
OI000365,ORD00117,P0787,1,2159.98,2159.98
OI000366,ORD00118,P1737,1,5804.79,5804.79
OI000367,ORD00119,P0113,1,4723.33,4723.33
OI000368,ORD00119,P0481,2,8813.33,17626.66
OI000369,ORD00120,P1463,1,3040.84,3040.84
OI000370,ORD00121,P1107,1,8488.47,8488.47
OI000371,ORD00121,P1325,1,15761.06,15761.06
OI000372,ORD00121,P1189,1,12055.25,12055.25
OI000373,ORD00121,P1990,2,2892.37,5784.74
OI000374,ORD00121,P0085,2,5906.97,11813.94
OI000375,ORD00122,P1692,1,1401.23,1401.23
OI000376,ORD00122,P0666,1,7401.48,7401.48
OI000377,ORD00122,P1821,1,3237.18,3237.18
OI000378,ORD00122,P1045,1,1172.7,1172.7
OI000379,ORD00122,P0680,1,264.49,264.49
OI000380,ORD00123,P0368,1,2565.16,2565.16
OI000381,ORD00123,P1298,1,4945.28,4945.28
OI000382,ORD00124,P0962,2,250.39,500.78
OI000383,ORD00124,P0992,1,1282.63,1282.63
OI000384,ORD00124,P1152,1,10460.34,10460.34
OI000385,ORD00124,P1916,1,7225.18,7225.18
OI000386,ORD00125,P0067,1,1887.98,1887.98
OI000387,ORD00125,P1273,1,7590.02,7590.02
OI000388,ORD00125,P0350,1,1324.62,1324.62
OI000389,ORD00125,P0080,1,7296.64,7296.64
OI000390,ORD00126,P1196,1,6058.06,6058.06
OI000391,ORD00126,P0186,1,5893.91,5893.91
OI000392,ORD00127,P0004,1,4296.12,4296.12
OI000393,ORD00127,P0116,1,15901.65,15901.65
OI000394,ORD00127,P0626,1,2078.79,2078.79
OI000395,ORD00128,P0721,1,10644.43,10644.43
OI000396,ORD00128,P1204,1,1718.58,1718.58
OI000397,ORD00129,P0168,1,4088.06,4088.06
OI000398,ORD00129,P1041,1,469.62,469.62
OI000399,ORD00129,P1857,1,7826.11,7826.11
OI000400,ORD00129,P1851,1,1395.43,1395.43
OI000401,ORD00130,P1659,1,3092.37,3092.37
OI000402,ORD00130,P0713,1,7726.98,7726.98
OI000403,ORD00130,P1601,1,4718.82,4718.82
OI000404,ORD00130,P1298,1,5110.04,5110.04
OI000405,ORD00130,P0825,1,3644.02,3644.02
OI000406,ORD00131,P1965,1,3380.89,3380.89
OI000407,ORD00131,P0400,2,848.52,1697.04
OI000408,ORD00131,P1899,1,2942.34,2942.34
OI000409,ORD00132,P0295,1,3071.07,3071.07
OI000410,ORD00132,P1976,1,977.17,977.17
OI000411,ORD00133,P0237,1,16696.7,16696.7
OI000412,ORD00133,P1578,1,8727.48,8727.48
OI000413,ORD00133,P0811,1,4211.7,4211.7
OI000414,ORD00134,P0452,1,8756.64,8756.64
OI000415,ORD00135,P0055,1,4122.81,4122.81
OI000416,ORD00135,P0677,1,6366.61,6366.61
OI000417,ORD00135,P0433,2,5625.55,11251.1
OI000418,ORD00136,P0466,1,2275.42,2275.42
OI000419,ORD00136,P0551,1,3119.31,3119.31
OI000420,ORD00136,P1585,1,1249.24,1249.24
OI000421,ORD00136,P1536,2,2461.02,4922.04
OI000422,ORD00136,P1857,1,7524.15,7524.15
OI000423,ORD00137,P1956,1,2271.15,2271.15
OI000424,ORD00137,P1354,1,668.13,668.13
OI000425,ORD00137,P1810,2,4342.44,8684.88
OI000426,ORD00137,P0219,1,607.99,607.99
OI000427,ORD00137,P1070,1,2613.56,2613.56
OI000428,ORD00138,P1978,1,5366.81,5366.81
OI000429,ORD00139,P1897,1,14795.0,14795.0
OI000430,ORD00139,P0456,1,7693.29,7693.29
OI000431,ORD00139,P0312,1,8774.55,8774.55
OI000432,ORD00139,P1281,3,4313.29,12939.87
OI000433,ORD00139,P0485,1,1828.49,1828.49
OI000434,ORD00140,P0277,1,3808.74,3808.74
OI000435,ORD00140,P1035,2,6793.09,13586.18
OI000436,ORD00140,P0041,1,4065.64,4065.64
OI000437,ORD00141,P1133,1,4988.23,4988.23
OI000438,ORD00141,P0277,2,3399.16,6798.32
OI000439,ORD00141,P0797,2,7072.83,14145.66
OI000440,ORD00141,P1353,1,13944.44,13944.44
OI000441,ORD00141,P1629,1,4512.52,4512.52
OI000442,ORD00142,P0778,1,10291.69,10291.69
OI000443,ORD00143,P0127,1,3496.43,3496.43
OI000444,ORD00143,P0253,1,3921.84,3921.84
OI000445,ORD00143,P0030,1,6741.94,6741.94
OI000446,ORD00143,P0165,1,4031.75,4031.75
OI000447,ORD00144,P1073,2,3447.25,6894.5
OI000448,ORD00144,P0217,1,1215.53,1215.53
OI000449,ORD00145,P1516,2,1562.26,3124.52
OI000450,ORD00145,P0501,1,844.64,844.64
OI000451,ORD00146,P1600,1,7600.26,7600.26
OI000452,ORD00146,P0179,1,1976.0,1976.0
OI000453,ORD00146,P1454,2,3648.12,7296.24
OI000454,ORD00147,P1202,1,1381.22,1381.22
OI000455,ORD00147,P1352,1,2982.9,2982.9
OI000456,ORD00148,P0042,1,1943.04,1943.04
OI000457,ORD00149,P1336,1,1163.62,1163.62
OI000458,ORD00149,P1352,1,2838.61,2838.61
OI000459,ORD00149,P0415,1,2759.21,2759.21
OI000460,ORD00149,P0904,1,2308.33,2308.33
OI000461,ORD00149,P0940,1,9779.32,9779.32
OI000462,ORD00150,P1186,3,10852.49,32557.47
OI000463,ORD00150,P1730,2,8454.64,16909.28
OI000464,ORD00150,P1098,1,11502.21,11502.21
OI000465,ORD00150,P1347,2,5738.66,11477.32
OI000466,ORD00150,P1602,1,4377.53,4377.53
OI000467,ORD00151,P0750,1,5064.57,5064.57
OI000468,ORD00151,P1479,1,3681.99,3681.99
OI000469,ORD00151,P1033,2,1023.73,2047.46
OI000470,ORD00151,P1108,1,1652.15,1652.15
OI000471,ORD00151,P1800,1,9450.51,9450.51
OI000472,ORD00152,P1809,1,382.35,382.35
OI000473,ORD00152,P0092,1,11965.84,11965.84
OI000474,ORD00152,P1677,1,1169.22,1169.22
OI000475,ORD00152,P0920,1,4209.84,4209.84
OI000476,ORD00153,P1047,1,15014.67,15014.67
OI000477,ORD00153,P1828,2,3835.93,7671.86
OI000478,ORD00153,P1544,1,1416.32,1416.32
OI000479,ORD00153,P0358,1,5463.3,5463.3
OI000480,ORD00153,P1240,1,4528.23,4528.23
OI000481,ORD00154,P1821,1,3609.84,3609.84
OI000482,ORD00154,P1631,1,390.17,390.17
OI000483,ORD00154,P0530,1,3627.64,3627.64
OI000484,ORD00155,P0431,1,3326.74,3326.74
OI000485,ORD00156,P1272,1,7000.05,7000.05
OI000486,ORD00156,P1991,2,1793.35,3586.7
OI000487,ORD00157,P1157,1,11226.12,11226.12
OI000488,ORD00158,P0752,1,826.29,826.29
OI000489,ORD00158,P1408,1,3504.55,3504.55
OI000490,ORD00158,P1035,1,5933.86,5933.86
OI000491,ORD00158,P1803,1,3813.91,3813.91
OI000492,ORD00158,P1634,1,2269.56,2269.56
OI000493,ORD00159,P0087,1,19250.74,19250.74
OI000494,ORD00159,P0010,2,727.3,1454.6
OI000495,ORD00159,P1719,1,3204.8,3204.8
OI000496,ORD00160,P0048,1,8206.98,8206.98
OI000497,ORD00160,P1702,1,8034.39,8034.39
OI000498,ORD00161,P0382,1,1116.13,1116.13
OI000499,ORD00161,P1842,1,8919.7,8919.7
OI000500,ORD00161,P0884,1,8680.38,8680.38
OI000501,ORD00161,P1881,1,8227.61,8227.61
OI000502,ORD00162,P0100,1,10777.25,10777.25
OI000503,ORD00162,P0387,2,353.16,706.32
OI000504,ORD00162,P1429,1,13855.66,13855.66
OI000505,ORD00163,P0987,1,6939.59,6939.59
OI000506,ORD00163,P0314,1,8392.24,8392.24
OI000507,ORD00164,P0748,1,12621.62,12621.62
OI000508,ORD00164,P0308,1,589.62,589.62
OI000509,ORD00164,P0428,1,4493.74,4493.74
OI000510,ORD00165,P0662,2,3658.78,7317.56
OI000511,ORD00166,P0975,1,945.56,945.56
OI000512,ORD00166,P0976,1,7264.74,7264.74
OI000513,ORD00167,P0656,1,2854.56,2854.56
OI000514,ORD00168,P0181,2,5330.64,10661.28
OI000515,ORD00168,P1276,2,1779.07,3558.14
OI000516,ORD00168,P0526,1,12589.05,12589.05
OI000517,ORD00168,P1550,1,4192.34,4192.34
OI000518,ORD00168,P0036,2,2081.47,4162.94
OI000519,ORD00169,P1600,1,8488.63,8488.63
OI000520,ORD00170,P1424,1,9744.73,9744.73
OI000521,ORD00170,P0927,1,19027.68,19027.68
