review_id,customer_id,product_id,rating,review_text,review_date,sentiment
R00161,CUST3476,P0207,5,Good value for money.,2025-08-01,Positive
R00162,CUST2798,P0727,4,Very satisfied with the purchase.,2023-09-14,Positive
R00163,CUST2301,P1735,4,Good value for money.,2025-04-12,Positive
R00164,CUST4993,P1710,4,Works as expected.,2024-12-27,Positive
R00165,CUST0176,P0977,5,Good value for money.,2024-10-09,Positive
R00166,CUST1814,P0922,4,Works as expected.,2025-10-19,Positive
R00167,CUST2202,P1618,4,Very satisfied with the purchase.,2024-12-09,Positive
R00168,CUST0955,P1517,4,Quality is great for the price.,2025-07-12,Positive
R00169,CUST3913,P0850,5,Works as expected.,2024-08-22,Positive
R00170,CUST2292,P1507,5,Quality is great for the price.,2022-12-25,Positive
R00171,CUST1282,P1087,4,Very satisfied with the purchase.,2025-09-28,Positive
R00172,CUST1584,P0786,5,Quality is great for the price.,2025-10-04,Positive
R00173,CUST4788,P0250,5,"Excellent product, highly recommended!",2025-09-30,Positive
R00174,CUST2665,P1228,4,Quality is great for the price.,2025-04-04,Positive
R00175,CUST1267,P1473,5,Good value for money.,2024-06-01,Positive
R00176,CUST1450,P1246,4,Quality is great for the price.,2024-08-17,Positive
R00177,CUST4729,P1780,2,Not worth the money.,2025-02-15,Negative
R00178,CUST3639,P1323,4,Works as expected.,2024-09-13,Positive
R00179,CUST3996,P1632,5,Quality is great for the price.,2025-10-11,Positive
R00180,CUST2539,P0977,2,Stopped working after a week.,2025-01-09,Negative
R00181,CUST0559,P1701,5,Very satisfied with the purchase.,2025-01-09,Positive
R00182,CUST4719,P0040,5,"Excellent product, highly recommended!",2025-11-03,Positive
R00183,CUST1528,P0826,4,Quality is great for the price.,2024-11-17,Positive
R00184,CUST4860,P1830,5,"Excellent product, highly recommended!",2025-10-06,Positive
R00185,CUST3167,P0956,5,Works as expected.,2025-08-26,Positive
R00186,CUST1076,P1173,3,"Product is okay, nothing special.",2024-04-04,Neutral
R00187,CUST4940,P1287,4,Quality is great for the price.,2025-06-13,Positive
R00188,CUST4010,P0928,5,Very satisfied with the purchase.,2025-10-19,Positive
R00189,CUST4250,P1635,4,Quality is great for the price.,2025-01-24,Positive
R00190,CUST4697,P0531,5,Quality is great for the price.,2025-02-11,Positive
R00191,CUST0077,P1207,3,Decent product for the price.,2024-04-25,Neutral
R00192,CUST0474,P0938,3,"Average quality, meets expectations.",2025-10-02,Neutral
R00193,CUST0779,P0855,5,Quality is great for the price.,2024-12-30,Positive
R00194,CUST4417,P0213,5,"Excellent product, highly recommended!",2025-09-12,Positive
R00195,CUST3863,P0625,5,Quality is great for the price.,2025-02-23,Positive
R00196,CUST0019,P0903,3,It's fine but could be better.,2024-07-05,Neutral
R00197,CUST2442,P1795,5,"Excellent product, highly recommended!",2025-10-01,Positive
R00198,CUST4581,P0263,5,"Excellent product, highly recommended!",2025-06-30,Positive
R00199,CUST4261,P1684,5,Quality is great for the price.,2025-04-20,Positive
R00200,CUST2584,P1093,5,Works as expected.,2023-10-24,Positive
R00201,CUST2322,P1509,4,"Excellent product, highly recommended!",2025-05-03,Positive
R00202,CUST1446,P1515,5,Quality is great for the price.,2025-06-02,Positive
R00203,CUST1689,P1846,2,Disappointed with the build quality.,2021-06-09,Negative
R00204,CUST2307,P1449,3,Decent product for the price.,2025-02-04,Neutral
R00205,CUST0281,P0209,5,"Excellent product, highly recommended!",2025-11-04,Positive
R00206,CUST2048,P1320,4,Works as expected.,2024-07-07,Positive
R00207,CUST0824,P0857,3,"Average quality, meets expectations.",2025-03-16,Neutral
R00208,CUST0864,P1109,3,It's fine but could be better.,2025-07-09,Neutral
R00209,CUST1180,P1557,4,Quality is great for the price.,2024-11-28,Positive
R00210,CUST3187,P1468,5,Very satisfied with the purchase.,2023-09-04,Positive
R00211,CUST0611,P0580,2,Stopped working after a week.,2025-07-31,Negative
R00212,CUST2671,P0401,4,Works as expected.,2025-04-20,Positive
R00213,CUST1096,P0405,5,"Excellent product, highly recommended!",2025-03-15,Positive
R00214,CUST1299,P1328,4,Very satisfied with the purchase.,2024-01-18,Positive
R00215,CUST3947,P0075,3,"Product is okay, nothing special.",2025-10-01,Neutral
R00216,CUST4683,P0137,4,"Excellent product, highly recommended!",2025-02-25,Positive
R00217,CUST4302,P0941,4,Quality is great for the price.,2025-06-02,Positive
R00218,CUST4342,P1262,5,Works as expected.,2024-05-06,Positive
R00219,CUST2547,P0323,2,Poor customer service experience.,2025-10-31,Negative
R00220,CUST1575,P0124,5,Good value for money.,2023-12-28,Positive
R00221,CUST2267,P1355,2,Not worth the money.,2025-01-25,Negative
R00222,CUST1581,P1081,3,"Average quality, meets expectations.",2024-12-28,Neutral
R00223,CUST0186,P1447,2,Not worth the money.,2025-06-06,Negative
R00224,CUST2293,P0893,4,Very satisfied with the purchase.,2023-10-04,Positive
R00225,CUST0085,P1436,3,"Average quality, meets expectations.",2022-06-22,Neutral
R00226,CUST0402,P0537,5,Very satisfied with the purchase.,2025-02-09,Positive
R00227,CUST1670,P1371,5,Works as expected.,2024-05-03,Positive
R00228,CUST2490,P0609,5,Works as expected.,2024-12-18,Positive
R00229,CUST1416,P1515,3,"Product is okay, nothing special.",2024-12-01,Neutral
R00230,CUST0520,P0034,5,Quality is great for the price.,2023-07-16,Positive
R00231,CUST3199,P1539,5,Very satisfied with the purchase.,2025-10-27,Positive
R00232,CUST4438,P1797,5,Very satisfied with the purchase.,2024-05-20,Positive
R00233,CUST0085,P1681,4,Good value for money.,2024-02-08,Positive
R00234,CUST4877,P1769,5,Good value for money.,2024-10-17,Positive
R00235,CUST1210,P1570,4,Works as expected.,2023-06-11,Positive
R00236,CUST2712,P0321,4,Quality is great for the price.,2025-03-12,Positive
R00237,CUST1372,P1536,5,Works as expected.,2025-08-11,Positive
R00238,CUST0888,P0145,5,"Excellent product, highly recommended!",2025-08-07,Positive
R00239,CUST3430,P1339,3,"Product is okay, nothing special.",2025-07-28,Neutral
R00240,CUST3370,P1395,3,"Product is okay, nothing special.",2025-03-18,Neutral
R00241,CUST2506,P0128,5,"Excellent product, highly recommended!",2025-06-08,Positive
R00242,CUST3023,P0198,5,Quality is great for the price.,2020-06-27,Positive
R00243,CUST3078,P0283,5,Works as expected.,2025-04-24,Positive
R00244,CUST3552,P0562,1,Disappointed with the build quality.,2024-12-22,Negative
R00245,CUST0644,P0179,5,Very satisfied with the purchase.,2025-05-26,Positive
R00246,CUST0658,P1062,4,Works as expected.,2025-10-14,Positive
R00247,CUST2926,P1585,5,Good value for money.,2024-05-06,Positive
R00248,CUST3729,P0995,5,Very satisfied with the purchase.,2025-07-08,Positive
R00249,CUST4890,P0093,5,Good value for money.,2023-04-22,Positive
R00250,CUST1662,P0652,5,Works as expected.,2025-08-07,Positive
R00251,CUST3296,P0334,4,Quality is great for the price.,2022-09-30,Positive
R00252,CUST4593,P1436,5,"Excellent product, highly recommended!",2022-09-27,Positive
R00253,CUST3479,P1238,2,Disappointed with the build quality.,2022-06-26,Negative
R00254,CUST2808,P1600,5,Works as expected.,2025-04-15,Positive
R00255,CUST4254,P0890,5,Good value for money.,2024-10-02,Positive
R00256,CUST0048,P0648,4,Quality is great for the price.,2024-07-17,Positive
R00257,CUST1625,P0590,5,Works as expected.,2025-10-21,Positive
R00258,CUST2677,P1154,5,Very satisfied with the purchase.,2025-03-24,Positive
R00259,CUST4401,P0575,5,Works as expected.,2023-09-28,Positive
R00260,CUST2603,P1075,5,"Excellent product, highly recommended!",2025-01-05,Positive
R00261,CUST0487,P0343,4,Very satisfied with the purchase.,2024-06-21,Positive
R00262,CUST4082,P0224,2,Disappointed with the build quality.,2025-02-25,Negative
R00263,CUST4882,P1978,4,Very satisfied with the purchase.,2025-09-02,Positive
R00264,CUST0321,P1774,5,Quality is great for the price.,2024-08-05,Positive
R00265,CUST4969,P0233,3,"Product is okay, nothing special.",2023-05-07,Neutral
R00266,CUST4366,P0446,5,Good value for money.,2025-07-02,Positive
R00267,CUST2162,P0019,5,Works as expected.,2025-04-20,Positive
R00268,CUST4797,P0858,3,"Product is okay, nothing special.",2021-06-09,Neutral
R00269,CUST1786,P1006,4,Quality is great for the price.,2024-03-02,Positive
R00270,CUST2020,P1965,5,Works as expected.,2025-10-08,Positive
R00271,CUST0824,P0348,5,Quality is great for the price.,2025-11-02,Positive
R00272,CUST3667,P0456,4,"Excellent product, highly recommended!",2024-10-20,Positive
R00273,CUST2352,P0347,2,Disappointed with the build quality.,2025-07-30,Negative
R00274,CUST3105,P1788,5,"Excellent product, highly recommended!",2025-10-06,Positive
R00275,CUST0094,P0561,4,Good value for money.,2025-09-18,Positive
R00276,CUST3993,P0958,4,Very satisfied with the purchase.,2025-10-10,Positive
R00277,CUST1315,P0872,3,Decent product for the price.,2025-10-23,Neutral
R00278,CUST0008,P1507,4,Works as expected.,2023-07-19,Positive
R00279,CUST2621,P0349,5,Works as expected.,2025-05-06,Positive
R00280,CUST0592,P1016,3,Decent product for the price.,2022-05-22,Neutral
R00281,CUST4769,P1900,2,Not worth the money.,2024-01-27,Negative
R00282,CUST4527,P1224,5,Quality is great for the price.,2023-03-10,Positive
R00283,CUST1102,P1045,4,Very satisfied with the purchase.,2025-08-16,Positive
R00284,CUST2921,P0555,4,"Excellent product, highly recommended!",2022-02-14,Positive
R00285,CUST3301,P0477,3,Decent product for the price.,2020-02-21,Neutral
R00286,CUST1825,P1543,5,Works as expected.,2022-10-05,Positive
R00287,CUST4692,P0163,5,Works as expected.,2024-06-18,Positive
R00288,CUST4279,P1313,3,"Product is okay, nothing special.",2023-01-23,Neutral
R00289,CUST1196,P1801,5,Quality is great for the price.,2025-10-15,Positive
R00290,CUST3690,P0887,5,Good value for money.,2024-05-19,Positive
R00291,CUST1483,P1494,5,Quality is great for the price.,2025-07-22,Positive
R00292,CUST3834,P0538,5,Good value for money.,2025-01-05,Positive
R00293,CUST3382,P1243,5,"Excellent product, highly recommended!",2022-03-15,Positive
R00294,CUST1974,P0392,4,Very satisfied with the purchase.,2025-10-28,Positive
R00295,CUST1788,P0032,2,Disappointed with the build quality.,2025-02-12,Negative
R00296,CUST0691,P1607,2,Poor customer service experience.,2025-10-17,Negative
R00297,CUST4023,P0584,3,It's fine but could be better.,2024-04-08,Neutral
R00298,CUST0647,P1933,2,Stopped working after a week.,2023-02-28,Negative
R00299,CUST2291,P1315,4,Good value for money.,2024-12-11,Positive
R00300,CUST4083,P1394,5,Quality is great for the price.,2021-03-14,Positive
R00301,CUST1702,P1954,3,It's fine but could be better.,2023-10-03,Neutral
R00302,CUST2990,P0500,4,Good value for money.,2024-12-05,Positive
R00303,CUST0638,P0393,5,"Excellent product, highly recommended!",2024-05-14,Positive
R00304,CUST3280,P0596,3,It's fine but could be better.,2025-03-05,Neutral
R00305,CUST4023,P1613,4,Very satisfied with the purchase.,2024-04-14,Positive
R00306,CUST1686,P0005,2,Not worth the money.,2023-01-17,Negative
R00307,CUST3099,P1521,1,Poor customer service experience.,2025-07-04,Negative
R00308,CUST0942,P0766,4,Quality is great for the price.,2025-05-03,Positive
R00309,CUST3643,P1769,5,Good value for money.,2025-11-11,Positive
R00310,CUST3673,P0594,4,"Excellent product, highly recommended!",2025-05-30,Positive
R00311,CUST2887,P0762,5,Very satisfied with the purchase.,2025-08-15,Positive
R00312,CUST3119,P1440,4,Good value for money.,2023-10-21,Positive
R00313,CUST2923,P0386,5,Good value for money.,2025-11-03,Positive
R00314,CUST2134,P0607,5,Quality is great for the price.,2025-11-05,Positive
R00315,CUST4612,P1810,3,"Product is okay, nothing special.",2025-04-20,Neutral
R00316,CUST2622,P1454,1,Disappointed with the build quality.,2024-12-09,Negative
R00317,CUST1603,P1662,4,"Excellent product, highly recommended!",2024-07-12,Positive
R00318,CUST4557,P1602,4,Good value for money.,2024-10-30,Positive
R00319,CUST0240,P1458,4,Works as expected.,2024-10-20,Positive
R00320,CUST4012,P1666,4,Quality is great for the price.,2024-09-21,Positive
R00321,CUST2586,P1325,1,Not worth the money.,2025-10-31,Negative
R00322,CUST0742,P1681,3,Decent product for the price.,2023-11-25,Neutral
R00323,CUST2833,P0508,4,"Excellent product, highly recommended!",2025-09-21,Positive
R00324,CUST2574,P1109,4,Good value for money.,2025-06-05,Positive
R00325,CUST1600,P0945,5,Works as expected.,2023-07-15,Positive
R00326,CUST2428,P0602,4,Good value for money.,2025-02-20,Positive
R00327,CUST3784,P1884,4,Works as expected.,2023-04-25,Positive
R00328,CUST1970,P1369,5,"Excellent product, highly recommended!",2025-11-13,Positive
R00329,CUST2225,P1417,4,Very satisfied with the purchase.,2025-01-01,Positive
R00330,CUST1634,P0945,5,Quality is great for the price.,2025-03-08,Positive
R00331,CUST3341,P0500,5,"Excellent product, highly recommended!",2024-04-05,Positive
R00332,CUST1355,P1169,4,Good value for money.,2025-01-02,Positive
R00333,CUST4028,P0754,4,Quality is great for the price.,2025-09-26,Positive
R00334,CUST4543,P0315,5,Good value for money.,2024-02-16,Positive
R00335,CUST1104,P1354,4,"Excellent product, highly recommended!",2025-11-11,Positive
R00336,CUST1110,P1054,5,Very satisfied with the purchase.,2024-08-26,Positive
R00337,CUST2647,P0109,4,"Excellent product, highly recommended!",2023-11-15,Positive
R00338,CUST4681,P1296,5,Works as expected.,2025-02-09,Positive
R00339,CUST4813,P0896,5,Very satisfied with the purchase.,2025-04-21,Positive
R00340,CUST0120,P1639,5,Very satisfied with the purchase.,2025-07-01,Positive
R00341,CUST0300,P1212,3,Decent product for the price.,2024-06-28,Neutral
R00342,CUST1023,P0864,5,"Excellent product, highly recommended!",2025-10-25,Positive
R00343,CUST3658,P0207,5,Works as expected.,2025-08-04,Positive
R00344,CUST0229,P1379,3,"Average quality, meets expectations.",2025-09-22,Neutral
R00345,CUST4070,P1722,4,Quality is great for the price.,2025-01-22,Positive
R00346,CUST4930,P0210,4,Very satisfied with the purchase.,2025-06-28,Positive
R00347,CUST1062,P0110,3,Decent product for the price.,2025-10-23,Neutral
R00348,CUST1060,P0056,5,Good value for money.,2025-08-30,Positive
R00349,CUST3739,P1301,2,Stopped working after a week.,2025-07-16,Negative
R00350,CUST4712,P1244,4,Works as expected.,2024-04-11,Positive
R00351,CUST1516,P0181,5,"Excellent product, highly recommended!",2024-11-22,Positive
R00352,CUST2083,P1057,5,Very satisfied with the purchase.,2025-01-01,Positive
R00353,CUST0460,P1574,4,Good value for money.,2025-10-14,Positive
R00354,CUST2931,P0395,4,Very satisfied with the purchase.,2023-12-09,Positive
R00355,CUST4605,P1171,3,"Product is okay, nothing special.",2024-08-05,Neutral
R00356,CUST1289,P0655,2,Stopped working after a week.,2025-06-05,Negative
R00357,CUST1493,P1991,5,"Excellent product, highly recommended!",2023-06-01,Positive
R00358,CUST4454,P0920,5,Works as expected.,2025-08-20,Positive
R00359,CUST2805,P0675,4,Works as expected.,2024-09-20,Positive
R00360,CUST2984,P0878,4,Very satisfied with the purchase.,2023-11-25,Positive
R00361,CUST0329,P1217,4,Works as expected.,2024-05-09,Positive
R00362,CUST1251,P0722,4,Very satisfied with the purchase.,2022-12-26,Positive
R00363,CUST3373,P0245,4,"Excellent product, highly recommended!",2024-03-08,Positive
R00364,CUST0611,P1758,5,Works as expected.,2025-02-27,Positive
R00365,CUST0548,P1210,4,Works as expected.,2024-09-01,Positive
R00366,CUST3362,P0947,5,Quality is great for the price.,2024-08-30,Positive
R00367,CUST0199,P1516,4,"Excellent product, highly recommended!",2024-12-13,Positive
R00368,CUST1116,P1107,5,Good value for money.,2025-02-11,Positive
R00369,CUST1040,P1067,4,Good value for money.,2025-06-08,Positive
R00370,CUST2423,P1143,5,Works as expected.,2024-09-18,Positive
R00371,CUST4134,P0340,3,"Product is okay, nothing special.",2023-08-19,Neutral
R00372,CUST4289,P1407,3,"Average quality, meets expectations.",2025-05-16,Neutral
