product_id,product_name,category,brand,price,stock_quantity,rating,added_date
P0119,Ultra Vacuum 524,Home,Hearthstone,949.95,395,4.61,2021-11-03
P0120,Smart Sneakers 254,Fashion,UrbanWear,4592.48,281,3.28,2022-08-27
P0121,Smart Smartwatch 640,Electronics,ElectroMax,6318.95,458,3.71,2025-02-19
P0122,Classic Blender 740,Home,CasaPro,3356.78,974,4.64,2023-08-10
P0123,Mini Handbag 705,Fashion,SilkRoute,437.69,83,4.67,2024-09-01
P0124,Prime CyclingHelmet 144,Sports,FitFlex,4025.3,1340,4.45,2022-04-25
P0125,Ultra WaterBottle 712,Sports,Endura,3621.48,195,4.73,2022-04-02
P0126,Classic Jeans 145,Fashion,Trendify,5404.56,252,3.55,2023-10-20
P0127,Classic Speaker 243,Electronics,SoundWave,3378.6,225,3.65,2024-01-05
P0128,Smart Sneakers 351,Fashion,SilkRoute,947.18,719,3.84,2019-06-27
P0129,Pro Jacket 188,Fashion,SilkRoute,4867.41,667,3.73,2020-09-05
P0130,Pro Moisturizer 790,Beauty,VelvetTouch,222.97,15,3.21,2022-12-30
P0131,Mini Moisturizer 536,Beauty,AuraSkin,1635.75,1070,3.35,2023-04-19
P0132,Pro Serum 346,Beauty,AuraSkin,587.78,1289,4.58,2022-01-21
P0133,Prime WaterBottle 817,Sports,Sportify,8920.59,1191,3.67,2020-08-18
P0134,Pro Headphones 251,Electronics,ElectroMax,6506.71,1401,3.73,2020-03-28
P0135,Pro TennisRacket 135,Sports,FitFlex,6768.07,67,4.45,2020-02-08
P0136,Pro Speaker 391,Electronics,ElectroMax,7541.1,646,3.97,2023-02-17
P0137,Mini Table 991,Home,HomeEssence,9035.45,477,3.92,2024-01-13
P0138,Smart PowerBank 110,Electronics,Voltix,18654.73,1789,4.2,2025-03-10
P0139,Prime Dress 862,Fashion,SilkRoute,2235.92,775,4.17,2023-03-16
P0140,Classic Headphones 605,Electronics,NovaTech,21280.27,117,4.3,2023-01-27
P0141,Mini WaterBottle 887,Sports,FitFlex,2571.31,588,4.23,2019-04-25
P0142,Prime RunningShoes 840,Sports,PeakGear,3583.56,726,4.52,2022-09-30
P0143,Ultra CyclingHelmet 121,Sports,ProActive,327.84,368,4.59,2024-04-04
P0144,Mini Dumbbell 768,Sports,Sportify,1373.45,263,4.77,2023-04-18
P0145,Classic PowerBank 624,Electronics,SoundWave,20003.3,892,4.54,2025-08-03
P0146,Ultra Smartwatch 103,Electronics,ElectroMax,14156.75,1413,3.85,2020-11-19
P0147,Ultra TennisRacket 782,Sports,FitFlex,5973.5,1374,4.14,2020-07-03
P0148,Pro Moisturizer 207,Beauty,AuraSkin,1747.42,57,4.74,2024-01-16
P0149,Classic Sneakers 499,Fashion,Trendify,2634.59,1772,4.51,2020-05-07
P0150,Mini Jeans 976,Fashion,Trendify,5232.23,1602,4.27,2020-12-16
P0151,Smart Lamp 465,Home,CasaPro,4154.43,387,3.78,2020-05-09
P0152,Prime YogaMat 601,Sports,ProActive,4981.36,765,4.58,2022-09-26
P0153,Pro WaterBottle 340,Sports,Sportify,1594.11,73,4.55,2021-03-30
P0154,Ultra PowerBank 755,Electronics,PixelPro,11765.63,1198,4.12,2021-05-13
P0155,Prime Blender 317,Home,HomeEssence,8097.12,1086,3.41,2024-05-09
P0156,Pro Cooker 963,Home,HomeEssence,3038.88,1958,3.99,2024-05-20
P0157,Smart Dumbbell 671,Sports,FitFlex,5804.82,472,4.11,2020-11-07
P0158,Classic Jeans 184,Fashion,SilkRoute,2449.06,1333,3.64,2023-12-05
P0159,Ultra Cooker 593,Home,CasaPro,6107.9,151,4.66,2022-05-18
P0160,Prime Sneakers 311,Fashion,Trendify,2792.51,1755,4.14,2024-02-25
P0161,Classic Sneakers 627,Fashion,UrbanWear,4786.29,855,3.5,2021-11-16
P0162,Classic T-Shirt 516,Fashion,SilkRoute,5131.97,664,3.23,2025-06-03
P0163,Classic Table 379,Home,HomeEssence,12243.56,1596,4.4,2024-04-25
P0164,Pro Cooker 385,Home,Hearthstone,13929.13,1034,4.07,2023-08-30
P0165,Prime YogaMat 319,Sports,PeakGear,4348.69,657,3.54,2022-06-10
P0166,Smart YogaMat 432,Sports,FitFlex,4075.2,1783,4.76,2023-08-15
P0167,Mini Vacuum 409,Home,HomeEssence,5496.11,1969,3.4,2021-08-02
P0168,Mini SofaCover 826,Home,ComfortLiving,4301.23,1537,3.91,2022-04-23
P0169,Mini Jacket 163,Fashion,Trendify,4950.34,1476,4.26,2023-09-05
P0170,Classic Smartwatch 973,Electronics,Voltix,17457.88,273,3.32,2019-12-16
P0171,Pro Jeans 398,Fashion,UrbanWear,3042.37,893,3.6,2019-12-18
P0172,Ultra YogaMat 296,Sports,Sportify,419.73,1925,4.16,2019-10-03
P0173,Prime Cooker 665,Home,Nestoria,1521.33,121,4.33,2020-12-28
P0174,Pro Vacuum 187,Home,Hearthstone,9022.11,1864,4.17,2024-08-25
P0175,Smart Charger 107,Electronics,NovaTech,18348.54,1190,3.5,2020-05-10
P0176,Mini Cooker 257,Home,HomeEssence,2365.57,87,3.44,2024-09-03
P0177,Mini SofaCover 615,Home,ComfortLiving,6154.26,300,3.94,2025-09-23
P0178,Prime PowerBank 568,Electronics,Voltix,21936.47,1421,4.22,2020-05-21
P0179,Pro Table 216,Home,HomeEssence,2020.62,445,3.36,2023-07-08
P0180,Pro RunningShoes 287,Sports,ProActive,1783.6,1504,4.67,2023-06-05
P0181,Mini T-Shirt 744,Fashion,StyleHub,5122.65,1551,4.61,2020-10-12
P0182,Mini Jacket 919,Fashion,VogueLane,3190.79,405,4.24,2025-08-13
P0183,Prime TennisRacket 536,Sports,Endura,7694.73,1022,3.98,2020-07-03
P0184,Mini Tablet 446,Electronics,SoundWave,4709.76,1807,4.47,2019-10-27
P0185,Prime PowerBank 248,Electronics,ElectroMax,5969.56,1813,3.3,2024-12-18
P0186,Classic Dumbbell 597,Sports,ProActive,6904.31,653,4.32,2021-06-18
P0187,Classic Dumbbell 914,Sports,FitFlex,9456.41,1591,4.53,2025-02-27
P0188,Smart Perfume 855,Beauty,AuraSkin,659.99,1332,3.57,2024-11-04
P0189,Ultra WaterBottle 340,Sports,PeakGear,1611.44,391,3.71,2022-07-03
P0190,Ultra Moisturizer 934,Beauty,GlowMist,1450.12,1129,4.67,2022-05-03
P0191,Prime WaterBottle 724,Sports,Sportify,3540.93,1962,3.86,2019-10-17
P0192,Smart Sneakers 692,Fashion,VogueLane,3215.14,350,3.46,2023-02-27
P0193,Ultra YogaMat 300,Sports,Sportify,5389.76,197,4.13,2021-05-02
P0194,Prime Table 201,Home,CasaPro,5172.6,1908,3.89,2023-07-05
P0195,Smart Cooker 851,Home,Hearthstone,2992.1,534,3.41,2024-06-17
P0196,Smart TennisRacket 303,Sports,Endura,4349.73,164,3.91,2024-11-25
P0197,Pro RunningShoes 981,Sports,PeakGear,9751.26,245,3.31,2020-10-22
P0198,Classic Perfume 350,Beauty,PureBloom,315.61,421,3.58,2020-03-06
P0199,Classic PowerBank 265,Electronics,ElectroMax,20701.92,531,4.28,2019-04-18
P0200,Classic Headphones 621,Electronics,Voltix,13619.98,76,4.67,2020-06-12
P0201,Pro Charger 177,Electronics,ElectroMax,17775.24,128,3.88,2025-03-03
P0202,Mini Mask 911,Beauty,AuraSkin,1736.5,1749,3.22,2020-06-09
P0203,Pro Tablet 418,Electronics,NovaTech,11107.34,739,3.31,2019-07-04
P0204,Mini Headphones 167,Electronics,NovaTech,1267.93,932,4.11,2020-06-29
P0205,Pro Tablet 797,Electronics,PixelPro,3617.98,267,4.25,2024-06-26
P0206,Prime FaceWash 919,Beauty,GlowMist,1569.5,1738,4.52,2024-07-04
P0207,Prime Perfume 479,Beauty,VelvetTouch,1499.78,1099,3.33,2025-06-08
P0208,Mini Handbag 751,Fashion,VogueLane,439.9,517,3.71,2024-08-15
P0209,Smart Mask 854,Beauty,AuraSkin,411.62,1021,4.74,2025-06-28
P0210,Prime Mask 141,Beauty,PureBloom,2267.26,1269,3.51,2025-05-18
P0211,Prime Charger 344,Electronics,ElectroMax,14454.16,1571,3.58,2021-01-18
P0212,Prime FaceWash 423,Beauty,GlowMist,857.1,287,4.76,2024-04-01
P0213,Pro PowerBank 672,Electronics,NovaTech,12827.77,689,4.41,2022-08-02
P0214,Smart Lamp 877,Home,ComfortLiving,9781.77,1791,4.04,2025-08-04
P0215,Smart T-Shirt 858,Fashion,SilkRoute,4988.87,1266,3.7,2019-10-06
P0216,Ultra PowerBank 208,Electronics,Voltix,12970.21,1930,4.62,2022-06-26
P0217,Mini CyclingHelmet 183,Sports,Endura,1300.38,1686,4.72,2024-07-31
P0218,Classic Smartwatch 524,Electronics,NovaTech,11300.45,472,3.59,2022-08-29
P0219,Prime Lipstick 775,Beauty,GlowMist,664.22,866,4.44,2025-05-08
P0220,Prime RunningShoes 715,Sports,Endura,921.88,466,4.02,2020-02-19
P0221,Classic FaceWash 999,Beauty,VelvetTouch,633.08,956,3.24,2024-11-30
P0222,Prime Speaker 160,Electronics,SoundWave,3019.98,1888,3.77,2023-04-02
P0223,Classic Blender 270,Home,CasaPro,10804.8,1850,4.41,2022-01-14
P0224,Ultra Jacket 925,Fashion,SilkRoute,1744.12,778,3.42,2020-01-10
P0225,Smart T-Shirt 941,Fashion,SilkRoute,704.1,281,3.24,2019-02-17
P0226,Pro Mask 511,Beauty,GlowMist,804.03,1382,3.69,2020-11-02
P0227,Prime Serum 866,Beauty,VelvetTouch,1691.08,253,4.53,2020-03-21
P0228,Classic Table 725,Home,Hearthstone,6698.61,674,3.7,2023-12-02
P0229,Pro Lamp 642,Home,Hearthstone,5493.56,1673,4.56,2022-06-27
P0230,Pro Speaker 299,Electronics,Voltix,6667.43,1371,4.38,2022-09-27
P0231,Classic T-Shirt 444,Fashion,VogueLane,4618.87,1199,4.3,2024-01-22
P0232,Ultra Sneakers 234,Fashion,Trendify,1631.7,1863,3.64,2023-05-19
P0233,Pro Blender 413,Home,Hearthstone,1323.4,1892,3.42,2022-05-04
P0234,Pro TennisRacket 787,Sports,Endura,6301.89,1670,4.8,2022-12-11
P0235,Smart SofaCover 203,Home,Nestoria,10660.83,1658,4.76,2021-03-22
P0236,Smart YogaMat 873,Sports,Endura,6376.01,1294,4.39,2024-04-03
P0237,Classic Speaker 506,Electronics,PixelPro,17812.17,254,4.3,2019-08-21
P0238,Ultra T-Shirt 764,Fashion,SilkRoute,4629.97,1223,4.01,2024-12-15
P0239,Pro Lamp 670,Home,ComfortLiving,12355.13,1864,3.62,2023-08-24
P0240,Ultra SofaCover 815,Home,ComfortLiving,9897.84,354,3.92,2021-03-01
P0241,Prime Charger 797,Electronics,PixelPro,12701.84,297,4.69,2022-02-20
P0242,Pro Smartwatch 313,Electronics,Voltix,10149.81,554,4.34,2022-02-07
P0243,Prime PowerBank 444,Electronics,NovaTech,16667.41,1975,3.23,2019-01-27
P0244,Classic Handbag 717,Fashion,SilkRoute,2668.55,1624,4.71,2024-11-24
P0245,Mini Jacket 593,Fashion,StyleHub,1510.2,469,4.51,2024-02-15
P0246,Prime Jacket 632,Fashion,SilkRoute,4260.58,245,3.27,2020-07-19
P0247,Mini Perfume 874,Beauty,GlowMist,1785.04,789,4.73,2025-05-20
P0248,Pro Perfume 169,Beauty,PureBloom,1945.51,1162,4.1,2019-09-26
P0249,Pro YogaMat 781,Sports,Endura,7695.86,1740,4.53,2021-07-21
P0250,Classic PowerBank 297,Electronics,Voltix,21482.27,1571,3.46,2024-02-03
P0251,Prime Table 127,Home,Hearthstone,8202.14,56,4.1,2024-05-10
P0252,Smart Smartwatch 698,Electronics,Voltix,18983.94,1167,3.86,2019-06-04
P0253,Pro T-Shirt 932,Fashion,SilkRoute,4322.6,235,3.94,2023-12-30
P0254,Pro Dumbbell 301,Sports,FitFlex,3265.03,1239,3.65,2019-10-02
P0255,Smart Serum 914,Beauty,PureBloom,169.39,866,3.99,2022-12-02
P0256,Ultra RunningShoes 799,Sports,Endura,6416.59,88,3.67,2023-11-28
P0257,Mini Jacket 736,Fashion,SilkRoute,1985.64,1866,3.4,2020-07-04
P0258,Pro Tablet 666,Electronics,NovaTech,7236.51,299,3.37,2023-05-01
P0259,Ultra SofaCover 990,Home,HomeEssence,5004.5,1540,4.62,2024-01-14
P0260,Mini SofaCover 795,Home,CasaPro,7012.52,1839,4.54,2023-01-14
P0261,Mini RunningShoes 735,Sports,Sportify,8503.53,309,4.77,2022-04-01
P0262,Mini Smartwatch 341,Electronics,ElectroMax,10985.54,1980,3.46,2025-06-13
P0263,Mini Handbag 372,Fashion,UrbanWear,4698.37,1917,3.9,2019-03-01
P0264,Smart Cooker 140,Home,Nestoria,5367.53,806,4.46,2020-12-31
P0265,Pro Moisturizer 953,Beauty,AuraSkin,1484.06,1951,3.53,2022-11-03
P0266,Pro Lipstick 498,Beauty,GlowMist,381.13,1598,3.75,2024-09-03
P0267,Classic YogaMat 476,Sports,Sportify,2899.8,1105,4.46,2019-01-04
P0268,Classic Vacuum 517,Home,Nestoria,11438.17,1681,4.66,2021-10-04
P0269,Prime Serum 228,Beauty,PureBloom,1532.32,1759,3.91,2023-12-13
P0270,Smart PowerBank 145,Electronics,PixelPro,1163.81,911,3.25,2019-07-28
P0271,Smart Table 988,Home,Hearthstone,11610.28,1352,4.37,2023-04-12
P0272,Prime Jacket 547,Fashion,VogueLane,665.63,12,4.38,2021-11-10
P0273,Mini Lamp 224,Home,Hearthstone,6346.24,1036,3.78,2021-08-15
P0274,Smart Tablet 851,Electronics,NovaTech,13114.41,168,4.21,2020-07-12
P0275,Classic Dress 954,Fashion,SilkRoute,5725.44,29,3.94,2020-05-18
P0276,Prime Handbag 106,Fashion,SilkRoute,1726.05,1628,3.97,2023-01-28
P0277,Prime Lamp 765,Home,CasaPro,3802.99,173,4.63,2023-07-05
P0278,Mini Table 510,Home,ComfortLiving,10781.59,1672,3.96,2023-11-09
P0279,Ultra Perfume 503,Beauty,VelvetTouch,2021.87,286,4.14,2022-06-27
P0280,Pro Blender 602,Home,ComfortLiving,8844.25,1026,3.98,2020-08-11
P0281,Ultra Mask 382,Beauty,PureBloom,1455.37,1823,4.17,2025-09-02
P0282,Prime Dumbbell 760,Sports,Endura,6266.56,849,4.58,2023-11-04
P0283,Smart Jeans 266,Fashion,VogueLane,668.65,1160,4.51,2021-09-06
P0284,Smart T-Shirt 214,Fashion,UrbanWear,3057.84,702,4.04,2022-08-02
P0285,Prime Cooker 464,Home,HomeEssence,4822.11,518,3.75,2024-11-13
P0286,Smart Jacket 685,Fashion,Trendify,1215.41,714,4.75,2023-10-04
P0287,Pro TennisRacket 308,Sports,Endura,8334.4,1360,3.6,2024-03-15
P0288,Ultra TennisRacket 496,Sports,ProActive,10269.15,1876,4.38,2020-06-12
P0289,Classic Cooker 749,Home,Nestoria,2880.85,1099,3.65,2023-11-03
P0290,Smart CyclingHelmet 704,Sports,Sportify,6584.1,1664,4.6,2020-06-21
P0291,Classic Moisturizer 795,Beauty,GlowMist,2209.36,384,4.06,2024-02-04
P0292,Pro T-Shirt 894,Fashion,UrbanWear,2107.1,1631,3.81,2022-06-02
P0293,Prime Vacuum 254,Home,Nestoria,6222.86,1388,3.76,2024-11-07
P0294,Pro Handbag 234,Fashion,Trendify,1792.29,1317,3.99,2022-07-07
P0295,Ultra YogaMat 788,Sports,PeakGear,3288.43,709,3.28,2022-02-20
P0296,Prime SofaCover 317,Home,CasaPro,3424.98,1157,4.17,2024-03-22
P0297,Ultra Charger 104,Electronics,Voltix,6720.95,1370,4.09,2021-08-23
P0298,Pro Lamp 586,Home,HomeEssence,4934.58,260,3.91,2024-05-02
P0299,Ultra Sneakers 670,Fashion,Trendify,1783.82,695,4.63,2021-10-08
P0300,Classic TennisRacket 990,Sports,ProActive,1252.27,120,4.69,2020-02-07
P0301,Pro Handbag 355,Fashion,Trendify,2764.6,1813,3.73,2021-01-11
P0302,Mini Vacuum 320,Home,Nestoria,1631.83,452,3.92,2020-04-03
P0303,Pro CyclingHelmet 454,Sports,FitFlex,5128.87,589,4.48,2019-12-12
P0304,Prime Speaker 281,Electronics,PixelPro,1543.86,93,3.21,2022-02-04
P0305,Mini Cooker 997,Home,HomeEssence,3830.94,1626,3.87,2020-01-16
P0306,Pro Table 878,Home,HomeEssence,10188.84,1961,3.91,2024-08-10
P0307,Pro Jacket 620,Fashion,Trendify,3360.43,987,3.37,2025-09-30
P0308,Classic Sneakers 323,Fashion,SilkRoute,570.58,287,3.75,2023-10-04
P0309,Ultra Lipstick 512,Beauty,VelvetTouch,1437.17,56,3.59,2022-01-28
P0310,Pro Serum 828,Beauty,LuxeCare,2882.2,1082,3.66,2019-09-24
P0311,Prime Lamp 852,Home,ComfortLiving,5025.0,1674,4.78,2023-02-09
P0312,Mini Smartwatch 790,Electronics,PixelPro,9496.86,25,3.27,2021-07-25
P0313,Prime Sneakers 257,Fashion,StyleHub,3932.12,1154,3.46,2020-06-07
P0314,Prime Cooker 446,Home,CasaPro,9168.37,470,3.98,2023-08-20
P0315,Smart Charger 247,Electronics,NovaTech,19614.85,451,4.46,2020-09-27
P0316,Classic Jeans 224,Fashion,VogueLane,5397.08,389,4.17,2020-11-11
P0317,Smart YogaMat 833,Sports,Sportify,8520.32,52,3.94,2023-11-07
P0318,Pro WaterBottle 155,Sports,Sportify,6838.86,825,3.93,2019-04-09
P0319,Classic Speaker 418,Electronics,PixelPro,5961.97,1903,4.29,2019-01-20
